name,center_x,center_y,width,height,filename,W,H
cautionary-left-hand-curve,1277,654,35,24,Screenshot (110).png,1920,1080
cautionary-left-hand-curve,1395,612,47,36,Screenshot (111).png,1920,1080
cautionary-right-hand-curve,1122,691,25,19,Screenshot (112).png,1920,1080
cautionary-right-hand-curve,1189,665,35,32,Screenshot (113).png,1920,1080
cautionary-hump,1219,684,34,29,Screenshot (114).png,1920,1080
cautionary-hump,1193,689,38,28,Screenshot (115).png,1920,1080
cautionary-t-intersection,917,706,17,21,Screenshot (115).png,1920,1080
cautionary-t-intersection,869,683,34,32,Screenshot (116).png,1920,1080
cautionary-hump,1319,647,49,45,Screenshot (116).png,1920,1080
mandatory-speed-limit,780,693,24,21,Screenshot (117).png,1920,1080
mandatory-speed-limit,650,662,37,30,Screenshot (118).png,1920,1080
cautionary-cross-road,700,682,38,35,Screenshot (119).png,1920,1080
cautionary-hump,890,712,22,23,Screenshot (119).png,1920,1080
cautionary-hump,827,669,36,43,Screenshot (120).png,1920,1080
informatory-advance-direction-sign,778,591,104,45,Screenshot (121).png,1920,1080
informatory-advance-direction-sign,1636,319,204,134,Screenshot (122).png,1920,1080
cautionary-hump,419,646,45,47,Screenshot (122).png,1920,1080
mandatory-speed-limit,399,645,25,29,Screenshot (123).png,1920,1080
mandatory-speed-limit,830,698,23,20,Screenshot (123).png,1920,1080
mandatory-speed-limit,138,590,39,45,Screenshot (124).png,1920,1080
mandatory-speed-limit,742,684,26,26,Screenshot (124).png,1920,1080
mandatory-speed-limit,683,638,36,36,Screenshot (125).png,1920,1080
informatory-advance-direction-sign,290,305,185,72,Screenshot (126).png,1920,1080
cautionary-give-way,212,530,26,25,Screenshot (126).png,1920,1080
cautionary-give-way,497,555,23,17,Screenshot (127).png,1920,1080
cautionary-hump,332,525,27,27,Screenshot (127).png,1920,1080
informatory-advance-direction-sign,540,411,142,49,Screenshot (127).png,1920,1080
cautionary-hump,665,540,28,29,Screenshot (128).png,1920,1080
cautionary-hump,749,547,16,16,Screenshot (129).png,1920,1080
mandatory-speed-limit,330,515,47,47,Screenshot (130).png,1920,1080
cautionary-right-hand-curve,430,548,47,50,Screenshot (131).png,1920,1080
cautionary-hump,827,700,20,22,Screenshot (132).png,1920,1080
mandatory-overtaking-prohibited,819,700,29,33,Screenshot (133).png,1920,1080
mandatory-speed-limit,904,731,20,17,Screenshot (133).png,1920,1080
mandatory-speed-limit,751,676,45,37,Screenshot (134).png,1920,1080
cautionary-hump,468,487,56,53,Screenshot (136).png,1920,1080
cautionary-go-slow,790,683,28,32,Screenshot (137).png,1920,1080
cautionary-go-slow,711,655,45,42,Screenshot (138).png,1920,1080
cautionary-pedestrian-crossing,817,680,28,28,Screenshot (139).png,1920,1080
cautionary-pedestrian-crossing,488,546,76,83,Screenshot (140).png,1920,1080
cautionary-hump,737,657,42,42,Screenshot (141).png,1920,1080
mandatory-restriction-ends,661,654,58,55,Screenshot (142).png,1920,1080
mandatory-speed-limit,847,712,18,16,Screenshot (143).png,1920,1080
mandatory-speed-limit,717,677,37,30,Screenshot (144).png,1920,1080
cautionary-hump,744,557,20,17,Screenshot (145).png,1920,1080
mandatory-restriction-ends,414,503,40,47,Screenshot (146).png,1920,1080
cautionary-pedestrian-crossing,464,494,41,43,Screenshot (146).png,1920,1080
cautionary-hump,421,487,50,56,Screenshot (147).png,1920,1080
cautionary-ungaurded-level-crossing,372,517,40,37,Screenshot (148).png,1920,1080
cautionary-hump,771,572,16,16,Screenshot (148).png,1920,1080
mandatory-speed-limit,422,529,44,34,Screenshot (149).png,1920,1080
cautionary-hump,675,559,21,12,Screenshot (149).png,1920,1080
mandatory-overtaking-prohibited,332,512,45,42,Screenshot (150).png,1920,1080
mandatory-speed-limit,615,556,21,19,Screenshot (150).png,1920,1080
cautionary-pedestrian-crossing,742,684,34,34,Screenshot (151).png,1920,1080
cautionary-hump,802,686,27,31,Screenshot (152).png,1920,1080
cautionary-right-hand-curve,708,552,28,23,Screenshot (153).png,1920,1080
cautionary-right-hand-curve,660,550,37,29,Screenshot (154).png,1920,1080
cautionary-hump,611,508,47,52,Screenshot (155).png,1920,1080
cautionary-hump,693,665,42,39,Screenshot (156).png,1920,1080
cautionary-hump,577,495,37,45,Screenshot (157).png,1920,1080
mandatory-speed-limit,589,540,34,31,Screenshot (158).png,1920,1080
cautionary-hump,486,632,81,89,Screenshot (159).png,1920,1080
cautionary-hump,700,545,41,35,Screenshot (160).png,1920,1080
cautionary-hump,654,644,49,58,Screenshot (161).png,1920,1080
